,div,cate,cate_link,sub_cate,category2,pdName,price,pdImg,pdLink,pdDes
0,유형별,스킨케어,/kr/ko/shopping/product/skin_care.html,스킨/로션,MTG1110,인리치드 뉴트리 에멀젼,"18,0",/kr/ko/product/20161006/Enriched_Nutri_Emulsion_01.jpg,/kr/ko/shopping/product/skin_care/view.110650234.html,건조하고 메마른 피부를 건강하고 촉촉하게 가꿔주는 고영양 에멀젼
1,유형별,스킨케어,/kr/ko/shopping/product/skin_care.html,스킨/로션,MTG1110,인리치드 뉴트리 스킨소프너,"16,0",/kr/ko/product/20161006/Enriched_Nutri_Skin_Softener_01.jpg,/kr/ko/shopping/product/skin_care/view.110650233.html,건조하고 메마른 피부를 건강하고 촉촉하게 가꿔주는 고영양 스킨
2,유형별,스킨케어,/kr/ko/shopping/product/skin_care.html,스킨/로션,MTG1110,모이스처 세라마이드 에멀전,"18,0",/kr/ko/product/20160829/MOISTURE_CERAMINDE_EMULSION.jpg,/kr/ko/shopping/product/skin_care/view.110650205.html,"흐트러진 피부 장벽을 강화 시켜 주어 빈틈 없는
촉촉함을 제공하는 고보습 로션"
3,유형별,스킨케어,/kr/ko/shopping/product/skin_care.html,스킨/로션,MTG1110,모이스처 세라마이드 스킨 소프너,"16,0",/kr/ko/product/20160829/MOISTURE_CERAMINDE_SKIN_SOFTNER.jpg,/kr/ko/shopping/product/skin_care/view.110650204.html,"흐트러진 피부 장벽을 강화 시켜 주어 빈틈 없는
촉촉함을 제공하는 고보습 스킨"
4,유형별,스킨케어,/kr/ko/shopping/product/skin_care.html,스킨/로션,MTG1110,에이지 컨트롤 2종 세트,"46,0",/kr/ko/product/age-control-special-set_170101_1.jpg,/kr/ko/shopping/product/skin_care/view.110650539.html,"붉은 꽃, 동백의 강력한 항산화력을 담은 안티에이징 2종 세트"
5,유형별,스킨케어,/kr/ko/shopping/product/skin_care.html,스킨/로션,MTG1110,AC 밸런스 에멀젼 150ML,"15,0",/kr/ko/product/ac_balance_emulsion_01.jpg,/kr/ko/shopping/product/skin_care/view.110650082.html,피부 유ㆍ수분 밸런스를 조절해주며 얇은 수분 막을 형성하여 당김 없이 산뜻하게 촉촉함을 부...
6,유형별,스킨케어,/kr/ko/shopping/product/skin_care.html,스킨/로션,MTG1110,AC 밸런스 토너 200ML,"13,0",/kr/ko/product/ac_balance_toner_01.jpg,/kr/ko/shopping/product/skin_care/view.110650081.html,묵은 각질과 노폐물을 부드럽게 닦아 내고 과다하게 분비된 피지를 케어해 주어 피부를 청량하...
7,유형별,스킨케어,/kr/ko/shopping/product/skin_care.html,스킨/로션,MTG1110,플로랄 하이드로 미스트,"12,0",/kr/ko/product/16.Floral_Hydro_mist.jpg,/kr/ko/shopping/product/skin_care/view.110656091.html,"피부가 달아오르고 건조할 때, 상쾌한 수선화 수분이 메마른 피부를 촉촉하게 채워주어 쿨링 ..."
8,유형별,스킨케어,/kr/ko/shopping/product/skin_care.html,스킨/로션,MTG1110,플로랄 하이드로 에멀젼,"17,0",/kr/ko/product/2.Floral_Hydro_emulsion.jpg,/kr/ko/shopping/product/skin_care/view.110656099.html,"수선화 수분 저장 에멀젼
산뜻하게 흡수되고 뛰어난 수분 보유력으로
오래도록 촉촉함을 남겨주..."
9,유형별,스킨케어,/kr/ko/shopping/product/skin_care.html,스킨/로션,MTG1110,플로랄 하이드로 스킨소프너,"15,0",/kr/ko/product/01.Floral_Hydro%20skin_softener.jpg,/kr/ko/shopping/product/skin_care/view.110656098.html,"수선화 수분 진정 스킨
피부 속 깊숙이 흡수되어 탈수된 피부를 촉촉하게 진정시켜주는 수분 ..."
